,pdb_id,resolution,method,year,organism
0,1UK0,3.0,X-ray,2003,
1,1UK1,3.0,X-ray,2003,
2,1WOK,3.0,X-ray,2004,
3,2COK,,NMR,2005,
4,2CR9,,NMR,2005,
5,2CS2,,NMR,2005,
6,2DMJ,,NMR,2006,
7,2JVN,,NMR,2007,
8,2L30,,NMR,2010,
9,2L31,,NMR,2010,
10,2N8A,,NMR,2015,
11,2RCW,2.8,X-ray,2007,
12,2RD6,2.3,X-ray,2007,
13,2RIQ,1.7,X-ray,2007,
14,3GJW,2.3,X-ray,2009,
15,3GN7,2.5,X-ray,2009,
16,3L3L,2.5,X-ray,2009,
17,3L3M,2.5,X-ray,2009,
18,3OD8,2.4,X-ray,2010,
19,3ODA,2.64,X-ray,2010,
20,3ODC,2.8,X-ray,2010,
21,3ODE,2.95,X-ray,2010,
22,4AV1,3.1,X-ray,2012,
23,4DQY,3.25,X-ray,2012,
24,4DQY,3.25,X-ray,2012,
25,4DQY,3.25,X-ray,2012,
26,4GV7,2.89,X-ray,2012,
27,4HHY,2.3637,X-ray,2012,
28,4HHZ,2.7199,X-ray,2012,
29,4L6S,2.2,X-ray,2013,
30,4OPX,3.314,X-ray,2014,
31,4OPX,3.314,X-ray,2014,
32,4OQA,3.65,X-ray,2014,
33,4OQA,3.65,X-ray,2014,
34,4OQB,3.362,X-ray,2014,
35,4OQB,3.362,X-ray,2014,
36,4PJT,2.35,X-ray,2014,
37,4R5W,2.84,X-ray,2014,
38,4R6E,2.2,X-ray,2014,
39,4RV6,3.19,X-ray,2014,
40,4UND,2.2,X-ray,2014,
41,4UXB,3.22,X-ray,2014,
42,4XHU,2.089,X-ray,2015,
43,4ZZZ,1.9,X-ray,2015,
44,5A00,2.75,X-ray,2015,
45,5DS3,2.6,X-ray,2015,
46,5HA9,4.01,X-ray,2015,
47,5KPN,2.3,X-ray,2016,
48,5KPO,2.65,X-ray,2016,
49,5KPP,2.33,X-ray,2016,
50,5KPQ,2.55,X-ray,2016,
51,5WRQ,2.65,X-ray,2016,
52,5WRY,2.3,X-ray,2016,
53,5WRZ,2.2,X-ray,2016,
54,5WS0,2.6,X-ray,2016,
55,5WS1,1.9,X-ray,2016,
56,5WTC,2.2,X-ray,2016,
57,5XSR,2.3,X-ray,2017,
58,5XST,2.3,X-ray,2017,
59,5XSU,2.4,X-ray,2017,
60,6BHV,2.3,X-ray,2017,
61,6GHK,2.28,X-ray,2018,
62,6M3I,1.98,X-ray,2020,
63,6NRF,2.0,X-ray,2019,
64,6NRG,1.7,X-ray,2019,
65,6NRH,1.5,X-ray,2019,
66,6NRI,2.2,X-ray,2019,
67,6NRJ,1.65,X-ray,2019,
68,6NTU,1.8,X-ray,2019,
69,6VKK,2.1,X-ray,2020,
70,6VKO,2.8,X-ray,2020,
71,6VKQ,2.9,X-ray,2020,
72,6XVW,2.0,X-ray,2020,
73,7AAA,1.74,X-ray,2020,
74,7AAB,2.8,X-ray,2020,
75,7AAC,1.593,X-ray,2020,
76,7AAD,2.21,X-ray,2020,
77,7CMW,2.7,X-ray,2020,
78,7KK2,1.695,X-ray,2020,
79,7KK3,2.06,X-ray,2020,
80,7KK4,1.96,X-ray,2020,
81,7KK5,1.7,X-ray,2020,
82,7KK6,2.06,X-ray,2020,
83,7ONR,2.05,X-ray,2021,
84,7ONS,1.97,X-ray,2021,
85,7ONT,1.853,X-ray,2021,
86,7S68,3.3,X-ray,2021,
87,7S68,3.3,X-ray,2021,
88,7S6H,3.1,X-ray,2021,
89,7S6H,3.1,X-ray,2021,
90,7S6M,3.2,X-ray,2021,
91,7S6M,3.2,X-ray,2021,
92,7S81,3.6,X-ray,2021,
93,7S81,3.6,X-ray,2021,
94,7S81,3.6,X-ray,2021,
95,7SCY,4.1,EM,2021,
96,7SCZ,3.5,EM,2021,
97,8FYY,2.8,X-ray,2023,
98,8FYZ,3.4,X-ray,2023,
99,8FZ1,2.7,X-ray,2023,
100,8G0H,3.8,X-ray,2023,
101,8G0H,3.8,X-ray,2023,
102,8HE7,2.1,X-ray,2022,
103,8HLR,2.85,X-ray,2022,
104,8JNZ,2.84,X-ray,2023,
105,8U4W,3.02,X-ray,2023,
106,8VYH,2.05,X-ray,2024,
107,9BPY,2.8,X-ray,2024,
108,9CKC,2.1,X-ray,2024,
109,9DMC,3.0,X-ray,2024,
110,9ETQ,1.59,X-ray,2024,
111,9ETR,1.822,X-ray,2024,
112,9ILN,2.49,X-ray,2024,
113,9MI8,3.6,EM,2024,
114,9MJA,4.3,EM,2024,
